INSERT INTO Result (id, student_id, test_id, score, date_and_time) VALUES
(1, 2, 1, 85.0, '2024-12-06 10:00:00'),
(2, 3, 1, 90.0, '2024-12-06 10:30:00'),
(3, 4, 1, 75.0, '2024-12-06 11:00:00'),
(4, 5, 1, 80.0, '2024-12-06 11:30:00'),
(5, 6, 1, 95.0, '2024-12-06 12:00:00'),
(6, 7, 1, 70.0, '2024-12-06 12:30:00'),
(7, 8, 1, 60.0, '2024-12-06 13:00:00'),
(8, 9, 1, 88.0, '2024-12-06 13:30:00'),
(9, 10, 1, 92.0, '2024-12-06 14:00:00'),
(10, 11, 1, 78.0, '2024-12-06 14:30:00');

INSERT INTO Answered_Question (id, result_id, question_id, answer_id) VALUES
-- Student 2
(1, 1, 1, 1), -- Tačan odgovor
(2, 1, 2, 6), -- Pogrešan odgovor
(3, 1, 3, 9), -- Tačan odgovor
(4, 1, 4, 15), -- Pogrešan odgovor
(5, 1, 5, 17), -- Tačan odgovor
(6, 1, 6, 23), -- Pogrešan odgovor
(7, 1, 7, 25), -- Tačan odgovor
(8, 1, 8, 30), -- Pogrešan odgovor
(9, 1, 9, 33), -- Tačan odgovor
(10, 1, 10, 39), -- Pogrešan odgovor

-- Student 3
(11, 2, 1, 3), -- Pogrešan odgovor
(12, 2, 2, 5), -- Tačan odgovor
(13, 2, 3, 9), -- Tačan odgovor
(14, 2, 4, 14), -- Pogrešan odgovor
(15, 2, 5, 17), -- Tačan odgovor
(16, 2, 6, 21), -- Tačan odgovor
(17, 2, 7, 26), -- Pogrešan odgovor
(18, 2, 8, 29), -- Tačan odgovor
(19, 2, 9, 34), -- Pogrešan odgovor
(20, 2, 10, 37), -- Tačan odgovor

-- Student 4
(21, 3, 1, 2), -- Pogrešan odgovor
(22, 3, 2, 5), -- Tačan odgovor
(23, 3, 3, 11), -- Pogrešan odgovor
(24, 3, 4, 13), -- Tačan odgovor
(25, 3, 5, 20), -- Pogrešan odgovor
(26, 3, 6, 22), -- Pogrešan odgovor
(27, 3, 7, 25), -- Tačan odgovor
(28, 3, 8, 31), -- Pogrešan odgovor
(29, 3, 9, 33), -- Tačan odgovor
(30, 3, 10, 39), -- Pogrešan odgovor

-- Student 5
(31, 4, 1, 1), -- Tačan odgovor
(32, 4, 2, 5), -- Tačan odgovor
(33, 4, 3, 10), -- Pogrešan odgovor
(34, 4, 4, 13), -- Tačan odgovor
(35, 4, 5, 18), -- Pogrešan odgovor
(36, 4, 6, 23), -- Pogrešan odgovor
(37, 4, 7, 27), -- Pogrešan odgovor
(38, 4, 8, 29), -- Tačan odgovor
(39, 4, 9, 33), -- Tačan odgovor
(40, 4, 10, 38), -- Pogrešan odgovor

-- Student 6
(41, 5, 1, 1), -- Tačan odgovor
(42, 5, 2, 6), -- Pogrešan odgovor
(43, 5, 3, 9), -- Tačan odgovor
(44, 5, 4, 14), -- Pogrešan odgovor
(45, 5, 5, 17), -- Tačan odgovor
(46, 5, 6, 21), -- Tačan odgovor
(47, 5, 7, 28), -- Pogrešan odgovor
(48, 5, 8, 29), -- Tačan odgovor
(49, 5, 9, 33), -- Tačan odgovor
(50, 5, 10, 37), -- Tačan odgovor

-- Student 7
(51, 6, 1, 2), -- Pogrešan odgovor
(52, 6, 2, 5), -- Tačan odgovor
(53, 6, 3, 10), -- Pogrešan odgovor
(54, 6, 4, 15), -- Pogrešan odgovor
(55, 6, 5, 17), -- Tačan odgovor
(56, 6, 6, 21), -- Tačan odgovor
(57, 6, 7, 26), -- Pogrešan odgovor
(58, 6, 8, 30), -- Pogrešan odgovor
(59, 6, 9, 33), -- Tačan odgovor
(60, 6, 10, 37), -- Tačan odgovor

-- Student 8
(61, 7, 1, 3), -- Pogrešan odgovor
(62, 7, 2, 5), -- Tačan odgovor
(63, 7, 3, 9), -- Tačan odgovor
(64, 7, 4, 14), -- Pogrešan odgovor
(65, 7, 5, 18), -- Pogrešan odgovor
(66, 7, 6, 21), -- Tačan odgovor
(67, 7, 7, 28), -- Pogrešan odgovor
(68, 7, 8, 29), -- Tačan odgovor
(69, 7, 9, 33), -- Tačan odgovor
(70, 7, 10, 38), -- Pogrešan odgovor

-- Student 9
(71, 8, 1, 1), -- Tačan odgovor
(72, 8, 2, 6), -- Pogrešan odgovor
(73, 8, 3, 12), -- Pogrešan odgovor
(74, 8, 4, 13), -- Tačan odgovor
(75, 8, 5, 17), -- Tačan odgovor
(76, 8, 6, 23), -- Pogrešan odgovor
(77, 8, 7, 25), -- Tačan odgovor
(78, 8, 8, 30), -- Pogrešan odgovor
(79, 8, 9, 33), -- Tačan odgovor
(80, 8, 10, 37), -- Tačan odgovor

-- Student 10
(81, 9, 1, 3), -- Pogrešan odgovor
(82, 9, 2, 5), -- Tačan odgovor
(83, 9, 3, 9), -- Tačan odgovor
(84, 9, 4, 16), -- Pogrešan odgovor
(85, 9, 5, 17), -- Tačan odgovor
(86, 9, 6, 24), -- Pogrešan odgovor
(87, 9, 7, 27), -- Pogrešan odgovor
(88, 9, 8, 29), -- Tačan odgovor
(89, 9, 9, 35), -- Pogrešan odgovor
(90, 9, 10, 37), -- Tačan odgovor

-- Student 11
(91, 10, 1, 2), -- Pogrešan odgovor
(92, 10, 2, 5), -- Tačan odgovor
(93, 10, 3, 9), -- Tačan odgovor
(94, 10, 4, 14), -- Pogrešan odgovor
(95, 10, 5, 18), -- Pogrešan odgovor
(96, 10, 6, 21), -- Tačan odgovor
(97, 10, 7, 28), -- Pogrešan odgovor
(98, 10, 8, 29), -- Tačan odgovor
(99, 10, 9, 34), -- Pogrešan odgovor
(100, 10, 10, 37); -- Tačan odgovor
